,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
300,antofagasta,20,CL,1572638498.0,72.0,-23.65,-70.4,62.6,18.34
301,ballina,90,IE,1572638498.0,100.0,54.11,-9.15,53.01,8.05
302,pitiquito,0,MX,1572638498.0,17.0,30.68,-112.05,84.0,3.0
303,lithgow,64,AU,1572638498.0,100.0,-33.48,150.16,64.99,6.55
304,port-gentil,40,GA,1572638498.0,88.0,-0.72,8.78,80.6,5.82
305,kribi,100,CM,1572638499.0,94.0,2.94,9.91,75.69,6.04
306,juegang,100,CN,1572638499.0,87.0,32.31,121.18,62.01,7.99
307,esil,48,KZ,1572638499.0,84.0,51.96,66.41,27.75,6.78
308,ochamchira,100,GE,1572638499.0,86.0,42.71,41.47,55.42,19.01
309,leningradskiy,18,RU,1572638017.0,79.0,69.38,178.42,13.39,3.67
310,iquitos,75,PE,1572638499.0,66.0,-3.75,-73.25,86.0,5.82
311,ribeira brava,20,PT,1572638499.0,88.0,32.65,-17.07,71.6,5.82
312,katangli,73,RU,1572638499.0,77.0,51.71,143.23,33.93,12.95
313,dikson,78,RU,1572638499.0,93.0,73.51,80.55,2.46,6.78
314,port elizabeth,1,US,1572638467.0,37.0,39.31,-74.98,55.99,11.41
315,conakry,97,GN,1572638500.0,79.0,9.52,-13.7,81.52,3.74
316,sibay,0,RU,1572638500.0,78.0,52.72,58.67,21.69,10.02
317,isangel,75,VU,1572638500.0,73.0,-19.55,169.27,73.4,6.93
318,avera,1,US,1572638392.0,36.0,33.19,-82.53,64.4,6.93
319,ambilobe,90,MG,1572638500.0,73.0,-13.19,49.05,76.6,6.13
320,thompson,90,CA,1572638113.0,79.0,55.74,-97.86,24.8,8.05
321,avarua,94,CK,1572638027.0,78.0,-21.21,-159.78,75.2,2.24
322,valkeakoski,98,FI,1572638410.0,92.0,61.26,24.03,27.0,4.41
324,lexington,1,US,1572638455.0,52.0,38.05,-84.5,48.2,3.53
326,coahuayana,68,MX,1572638134.0,60.0,18.62,-100.35,84.61,2.37
327,lasa,40,CY,1572638501.0,64.0,34.92,32.53,73.4,13.87
328,rybinsk,100,RU,1572638501.0,95.0,58.05,38.83,29.44,5.21
329,luderitz,2,NA,1572638426.0,52.0,-26.65,15.16,69.8,1.12
330,kadoma,96,JP,1572638501.0,62.0,34.73,135.6,59.0,19.46
331,hambantota,96,LK,1572638501.0,82.0,6.12,81.12,79.23,6.82
332,hamilton,90,CA,1572638501.0,69.0,43.26,-79.87,41.0,17.22
333,zamosc,84,PL,1572638501.0,69.0,50.72,23.25,32.0,2.24
